ShortName	FullName
BETA-SP	Beta SPECIES
BETAVUL	Beta vulgaris
BETAV-V	Beta vulgaris subsp. vulgaris
BETOOFF	Betonica officinalis
BETOO-O	Betonica officinalis subsp. officinalis
BETOO;A	Betonica officinalis var. algeriensis
BETO-SP	Betonica SPECIES
BETUCEL	Betula celtiberica
BETUPEN	Betula pendula
BETUP-P	Betula pendula subsp. pendula
BETUPUB	Betula pubescens
BETUP;P	Betula pubescens var. pubescens
BETU-SP	Betula SPECIES
BIARMEN	Biarum mendax
BIAR-SP	Biarum SPECIES
BIARTEN	Biarum tenuifolium
BIART-A	Biarum tenuifolium subsp. arundanum
BIDEAUR	Bidens aurea
BIDECER	Bidens cernua
BIDEFRO	Bidens frondosa
BIDEPIL	Bidens pilosa
BIDE-SP	Bidens SPECIES
BIDETRI	Bidens tripartita
BIFO-SP	Bifora SPECIES
BIFOTES	Bifora testiculata
BILLHET	Billardiera heterophylla
BILL-SP	Billardiera SPECIES
BISCAUR	Biscutella auriculata
BISCLIM	Biscutella lima
BISCSEM	Biscutella sempervirens
BISCS-V	Biscutella sempervirens subsp. vicentina
BISC-SP	Biscutella SPECIES
BISEEPI	Biserrula epiglottis
BISEPEL	Biserrula pelecinus
BISEP-P	Biserrula pelecinus subsp. pelecinus
BISE-SP	Biserrula SPECIES
BISTOFF	Bistorta officinalis
BISTO-O	Bistorta officinalis subsp. officinalis
BIST-SP	Bistorta SPECIES
BITUBIT	Bituminaria bituminosa
BITUB-B	Bituminaria bituminosa subsp. bituminosa
BITU-SP	Bituminaria SPECIES
BLACACU	Blackstonia acuminata
BLACA-A	Blackstonia acuminata subsp. acuminata
BLACA-E	Blackstonia acuminata subsp. aestiva
BLACIMP	Blackstonia imperfoliata
BLACPER	Blackstonia perfoliata
BLACP-I	Blackstonia perfoliata subsp. intermedia
BLACP-P	Blackstonia perfoliata subsp. perfoliata
BLAC-SP	Blackstonia SPECIES
BLEC-SP	Blechnum SPECIES
BLECSPI	Blechnum spicant
BLITBON	Blitum bonus-henricus
BLITPET	Blitum petiolare
BLIT-SP	Blitum SPECIES
BLYXJAP	Blyxa japonica
BLYXJ;J	Blyxa japonica var. japonica
BLYX-SP	Blyxa SPECIES
BOLBGLA	Bolboschoenus glaucus
BOLBMAR	Bolboschoenus maritimus
BOLBM-M	Bolboschoenus maritimus subsp. maritimus
BOLB-SP	Bolboschoenus SPECIES
BOMBERE	Bombycilaena erecta
BOMB-SP	Bombycilaena SPECIES
BORAOFF	Borago officinalis
BORA-SP	Borago SPECIES
BOTHISC	Bothriochloa ischaemum
BOTH-SP	Bothriochloa SPECIES
BRACDIS	Brachypodium distachyon
BRACHYB	Brachypodium hybridum
BRACPHO	Brachypodium phoenicoides
BRACPIN	Brachypodium pinnatum
BRACRET	Brachypodium retusum
BRACRUP	Brachypodium rupestre
BRACR-R	Brachypodium rupestre subsp. rupestre
BRAC-SP	Brachypodium SPECIES
BRACSYL	Brachypodium sylvaticum
BRACS-S	Brachypodium sylvaticum subsp. sylvaticum
BRASBAR	Brassica barrelieri
BRASNAP	Brassica napus
BRASOXY	Brassica oxyrrhina
BRAS-SP	Brassica SPECIES
BRIZMAX	Briza maxima
BRIZMED	Briza media
BRIZMIN	Briza minor
BRIZ-SP	Briza SPECIES
BROMCAR	Bromus caroli-henrici
BROMCAT	Bromus catharticus
BROMCOM	Bromus commutatus
