ShortName	FullName
BUNI-SP	Bunias SPECIES
BUPLROT	Bupleurum rotundifolium
BUPL-SP	Bupleurum SPECIES
BUTOJUN	Butomus junceus
BUTO-SP	Butomus SPECIES
CAKIEDE	Cakile edentula
CAKIE-E	Cakile edentula subsp. edentula
CAKIE;L	Cakile edentula var. lacustris
CAKI-SP	Cakile SPECIES
CALABRE	Calamagrostis breviligulata
CALAB-B	Calamagrostis breviligulata subsp. breviligulata
CALACAN	Calamagrostis canadensis
CALADES	Calamagrostis deschampsioides
CALAINE	Calamagrostis inexpansa
CALALAP	Calamagrostis lapponica
CALAPUR	Calamagrostis purpurascens
CALAP-L	Calamagrostis purpurascens subsp. laricina
CALAP-P	Calamagrostis purpurascens subsp. purpurascens
CALAPUP	Calamagrostis purpurea
CALA-SP	Calamagrostis SPECIES
CALASTR	Calamagrostis stricta
CALEOFF	Calendula officinalis
CALE-SP	Calendula SPECIES
CALLPAL	Calla palustris
CALL-SP	Calla SPECIES
CALIHER	Callitriche hermaphroditica
CALIH-H	Callitriche hermaphroditica subsp. hermaphroditica
CALIHET	Callitriche heterophylla
CALIPAL	Callitriche palustris
CALIP-P	Callitriche palustris subsp. palustris
CALI-SP	Callitriche SPECIES
CALISTA	Callitriche stagnalis
CALO-SP	Calopogon SPECIES
CALOTUB	Calopogon tuberosus
CALOT;T	Calopogon tuberosus var. tuberosus
CALTPAL	Caltha palustris
CALTP;P	Caltha palustris var. palustris
CALT-SP	Caltha SPECIES
CALYBUL	Calypso bulbosa
CALYB;A	Calypso bulbosa var. americana
CALY-SP	Calypso SPECIES
CALSPUB	Calystegia pubescens
CALSSEP	Calystegia sepium
CALSS-A	Calystegia sepium subsp. americana
CALSS-N	Calystegia sepium subsp. angulata
CALSS-E	Calystegia sepium subsp. erratica
CALS-SP	Calystegia SPECIES
CALSSPI	Calystegia spithamaea
CALSS-S	Calystegia spithamaea subsp. stans
CAMEMIC	Camelina microcarpa
CAMESAT	Camelina sativa
CAME-SP	Camelina SPECIES
CAMPGIE	Campanula giesekiana
CAMPGLO	Campanula glomerata
CAMPG-G	Campanula glomerata subsp. glomerata
CAMPINT	Campanula intercedens
CAMPPER	Campanula persicifolia
CAMPP-P	Campanula persicifolia subsp. persicifolia
CAMPRAP	Campanula rapunculoides
CAMPR-R	Campanula rapunculoides subsp. rapunculoides
CAMP-SP	Campanula SPECIES
CAMPTRA	Campanula trachelium
CAMPT-T	Campanula trachelium subsp. trachelium
CAMAAME	Campanulastrum americanum
CAMA-SP	Campanulastrum SPECIES
CANNSAT	Cannabis sativa
CANN-SP	Cannabis SPECIES
CAPNSEM	Capnoides sempervirens
CAPN-SP	Capnoides SPECIES
CAPSBUR	Capsella bursa-pastoris
CAPSB-B	Capsella bursa-pastoris subsp. bursa-pastoris
CAPS-SP	Capsella SPECIES
CARAARB	Caragana arborescens
CARA-SP	Caragana SPECIES
CARDBEL	Cardamine bellidifolia
CARDB-B	Cardamine bellidifolia subsp. bellidifolia
CARDBUL	Cardamine bulbosa
CARDCON	Cardamine concatenata
CARDDIP	Cardamine diphylla
CARDMAX	Cardamine maxima
CARDPAR	Cardamine parviflora
CARDPEN	Cardamine pensylvanica
CARDPOL	Cardamine polemonioides
CARDPRA	Cardamine pratensis
CARDP-P	Cardamine pratensis subsp. pratensis
CARD-SP	Cardamine SPECIES
CARUACA	Carduus acanthoides
CARUA-A	Carduus acanthoides subsp. acanthoides
CARUCRI	Carduus crispus
CARUC-C	Carduus crispus subsp. crispus
CARUNUT	Carduus nutans
CARUN-N	Carduus nutans subsp. nutans
CARU-SP	Carduus SPECIES
CAREADU	Carex adusta
CAREALA	Carex alascana
CAREALB	Carex albicans
CAREA;A	Carex albicans var. albicans
CAREA;E	Carex albicans var. emmonsii
CAREALU	Carex albursina
CAREALO	Carex alopecoidea
CAREANN	Carex annectens
CAREAPP	Carex appalachica
CAREAQU	Carex aquatilis
CAREA;Q	Carex aquatilis var. aquatilis
CAREA;M	Carex aquatilis var. minor
CAREA;S	Carex aquatilis var. substricta
CAREARC	Carex arcta
CAREART	Carex arctata
CAREARO	Carex arctogena
CAREARG	Carex argyrantha
CAREATH	Carex atherodes
CAREATL	Carex atlantica
CAREA-C	Carex atlantica subsp. capillacea
CAREATR	Carex atratiformis
CAREATO	Carex atrofusca
CAREA-A	Carex atrofusca subsp. atrofusca
CAREAUR	Carex aurea
