ShortName	FullName
ANTIC;C	Anthriscus cerefolium var. cerefolium
ANTIC;T	Anthriscus cerefolium var. trichocarpus
ANTINIT	Anthriscus nitidus
ANTI-SP	Anthriscus species
ANTISYL	Anthriscus sylvestris
ANTY-SP	Anthyllis species
ANTYVUL	Anthyllis vulneraria
ANTYV-C	Anthyllis vulneraria ssp. carpatica
ANTYV-P	Anthyllis vulneraria ssp. polyphylla
ANTYV-S	Anthyllis vulneraria ssp. pseudovulneraria
ANTNMAJ	Antirrhinum majus
ANTN-SP	Antirrhinum species
ANTTCAL	Antitrichia californica
ANTTCUR	Antitrichia curtipendula
ANTT-SP	Antitrichia species
ANZICAR	Anzina carneonivea
ANZIC;C	Anzina carneonivea var. carneonivea
ANZIC;T	Anzina carneonivea var. tetraspora
ANZI-SP	Anzina species
AONGLON	Aongstroemia longipes
AONG-SP	Aongstroemia species
APERINT	Apera interrupta
APER-SP	Apera species
APERSPI	Apera spica-venti
APHAARV	Aphanes arvensis
APHAAUS	Aphanes australis
APHA-SP	Aphanes species
APHNMIC	Aphanolejeunea microscopica
APHN-SP	Aphanolejeunea species
APHOCOE	Aphanopsis coenosa
APHO-SP	Aphanopsis species
APIUGRA	Apium graveolens
APIU-SP	Apium species
APOMPUB	Apometzgeria pubescens
APOM-SP	Apometzgeria species
APOSFOE	Aposeris foetida
APOS-SP	Aposeris species
AQUIATR	Aquilegia atrata
AQUI-SP	Aquilegia species
AQUIVUL	Aquilegia vulgaris
ARABARE	Arabidopsis arenosa
ARABA-A	Arabidopsis arenosa ssp. arenosa
ARABA-B	Arabidopsis arenosa ssp. borbasii
ARABHAL	Arabidopsis halleri
ARABH-H	Arabidopsis halleri ssp. halleri
ARABPET	Arabidopsis petraea
ARAB-SP	Arabidopsis species
ARABTHA	Arabidopsis thaliana
ARAIALP	Arabis alpina
ARAI#AL	Arabis alpina agg.
ARAIAUR	Arabis auriculata
ARAICAU	Arabis caucasica
ARAIHIR	Arabis hirsuta
ARAI#HI	Arabis hirsuta agg.
ARAI*NE	Arabis hirsuta x A. nemorensis
ARAI*SA	Arabis hirsuta x A. sagittata
ARAINEM	Arabis nemorensis
ARAIPRO	Arabis procurrens
ARAISAG	Arabis sagittata
ARAI-SP	Arabis species
ARAISUD	Arabis sudetica
ARCTLAP	Arctium lappa
ARCTMIN	Arctium minus
ARCTMIU	Arctium minus s.lat.*
ARCTNEM	Arctium nemorosum
ARCT-SP	Arctium species
ARCTTOM	Arctium tomentosum
ARCT*TO	Arctium x ambiguum (A. lappa x tomentosum)
ARCT*NE	Arctium x cimbricum (A. lappa x nemorosum)
ARCT*NM	Arctium x maassii (A. minus x nemorosum)
ARCT*TM	Arctium x mixtum (A. minus x tomentosum)
ARCT*TE	Arctium x neumannii (A. nemorosum x tomentosum)
ARCT*MI	Arctium x nothum (A. lappa x minus)
ARCOAND	Arctoa anderssonii
ARCOFUL	Arctoa fulvella
ARCOHYP	Arctoa hyperborea
ARCO-SP	Arctoa species
ARCS-SP	Arctostaphylos species
ARCSUVA	Arctostaphylos uva-ursi
ARCHCAL	Arctotheca calendula
ARCH-SP	Arctotheca species
AREMAGR	Aremonia agrimonoides
AREM-SP	Aremonia species
ARENGRA	Arenaria grandiflora
ARENLEP	Arenaria leptoclados
ARENMAR	Arenaria martrinii
ARENSER	Arenaria serpyllifolia
AREN#SE	Arenaria serpyllifolia agg.
AREN-SP	Arenaria species
ARGEMEX	Argemone mexicana
ARGE-SP	Argemone species
ARGYFRU	Argyranthemum frutescens
ARGY-SP	Argyranthemum SPECIES
ARCIALT	Archidium alternifolium
ARCI-SP	Archidium species
ARISCLE	Aristolochia clematitis
ARISMAC	Aristolochia macrophylla
ARIS-SP	Aristolochia species
ARMEELO	Armeria elongata
ARMEE-E	Armeria elongata ssp. elongata
ARMEE-S	Armeria elongata ssp. serpentini
ARMEMAR	Armeria maritima
ARME-SP	Armeria species
ARMORUS	Armoracia rusticana
ARMO-SP	Armoracia species
ARNEFEN	Arnellia fennica
ARNE-SP	Arnellia species
ARNIMON	Arnica montana
ARNI-SP	Arnica species
ARNOMIN	Arnoseris minima
ARNO-SP	Arnoseris species
ARONMEL	Aronia melanocarpa
ARON-SP	Aronia SPECIES
ARON*PR	Aronia x prunifolia
ARRHELA	Arrhenatherum elatius
ARRHE-E	Arrhenatherum elatius ssp. elatius
ARRH-SP	Arrhenatherum species
ARTEABR	Artemisia abrotanum
ARTEABS	Artemisia absinthium
ARTEALB	Artemisia alba
ARTEANN	Artemisia annua
ARTEAUS	Artemisia austriaca
ARTEBIE	Artemisia biennis
ARTECAM	Artemisia campestris
ARTEC;L	Artemisia campestris var. lednicensis
