"ShortName"	"FullName"
"ALLUFIS"	"Allium fistulosum"
"ALLUFLA"	"Allium flavum"
"ALLUNIG"	"Allium nigrum"
"ALLUOCH"	"Allium ochroleucum"
"ALLUOLE"	"Allium oleraceum"
"ALLUPAR"	"Allium paradoxum"
"ALLUPOR"	"Allium porrum"
"ALLUROT"	"Allium rotundum"
"ALLUSAT"	"Allium sativum"
"ALLUSCH"	"Allium schoenoprasum"
"ALLUSCO"	"Allium scorodoprasum"
"ALLUSEN"	"Allium senescens"
"ALLUS-M"	"Allium senescens ssp. montanum"
"ALLUSPH"	"Allium sphaerocephalon"
"ALLUSTR"	"Allium strictum"
"ALLUSUA"	"Allium suaveolens"
"ALLUURS"	"Allium ursinum"
"ALLUVIC"	"Allium victorialis"
"ALLUVIN"	"Allium vineale"
"ALLUATO"	"Allium atroviolaceum"
"ALLU#ER"	"Allium ericetorum agg."
"ALLUMAR"	"Allium marginatum"
"ALLUMOL"	"Allium moly"
"ALLUMOS"	"Allium moschatum"
"ALLURAM"	"Allium ramosum"
"ALLUS-A"	"Allium schoenoprasum ssp. alpinum"
"ALLUS-S"	"Allium schoenoprasum ssp. schoenoprasum"
"ALLUU-U"	"Allium ursinum ssp. ucrainicum"
"ALLUU-R"	"Allium ursinum ssp. ursinum"
"ALLUXAN"	"Allium xanthicum"
"ALLUZAH"	"Allium zahariadii"
"ALLU-SP"	"Allium species"
"ALNUALN"	"Alnus alnobetula"
"ALNUGLU"	"Alnus glutinosa"
"ALNUINC"	"Alnus incana"
"ALNURUG"	"Alnus rugosa"
"ALNU-SP"	"Alnus species"
"ALOIALO"	"Aloina aloides"
"ALOIAMB"	"Aloina ambigua"
"ALOIBRE"	"Aloina brevirostris"
"ALOIRIG"	"Aloina rigida"
"ALOI-SP"	"Aloina species"
"ALOPAEQ"	"Alopecurus aequalis"
"ALOPGEN"	"Alopecurus geniculatus"
"ALOPMYO"	"Alopecurus myosuroides"
"ALOPPRA"	"Alopecurus pratensis"
"ALOPREN"	"Alopecurus rendlei"
"ALOP-SP"	"Alopecurus species"
"ALTHCAN"	"Althaea cannabina"
"ALTHHIR"	"Althaea hirsuta"
"ALTHOFF"	"Althaea officinalis"
"ALTHARM"	"Althaea armeniaca"
"ALTH-SP"	"Althaea species"
"ALYSALY"	"Alyssum alyssoides"
"ALYSDES"	"Alyssum desertorum"
"ALYSMON"	"Alyssum montanum"
"ALYSM-G"	"Alyssum montanum ssp. gmelinii"
"ALYSM-M"	"Alyssum montanum ssp. montanum"
"ALYSM-O"	"Alyssum montanum ssp. montanum var. preissmannii"
"ALYSMUR"	"Alyssum murale"
"ALYSOVI"	"Alyssum ovirense"
"ALYSREP"	"Alyssum repens"
"ALYSR-T"	"Alyssum repens ssp. transsilvanicum"
"ALYSTOR"	"Alyssum tortuosum"
"ALYSWUL"	"Alyssum wulfenianum"
"ALYSROS"	"Alyssum rostratum"
"ALYS-SP"	"Alyssum species"
"AMARALB"	"Amaranthus albus"
"AMARBLI"	"Amaranthus blitoides"
"AMARBLT"	"Amaranthus blitum"
"AMARBOU"	"Amaranthus bouchonii"
"AMARCAU"	"Amaranthus caudatus"
