Number	ShortName	FullName
830	AREN-SP	Arenaria species
831	ARGEMEX	Argemone mexicana
832	ARGE-SP	Argemone species
833	ARISCLE	Aristolochia clematitis
834	ARIS-SP	Aristolochia species
836	ARMEELO	Armeria elongata
837	ARMEE-E	Armeria elongata ssp. elongata
838	ARMEE-S	Armeria elongata ssp. serpentini
840	ARMEMAR	Armeria maritima
841	ARME-SP	Armeria species
842	ARMORUS	Armoracia rusticana
844	ARMO-SP	Armoracia species
845	ARNEFEN	Arnellia fennica
846	ARNE-SP	Arnellia species
847	ARNIMON	Arnica montana
848	ARNI-SP	Arnica species
849	ARNOMIN	Arnoseris minima
850	ARNO-SP	Arnoseris species
851	ARRHELA	Arrhenatherum elatius
852	ARRH-SP	Arrhenatherum species
853	ARTEABR	Artemisia abrotanum
854	ARTEABS	Artemisia absinthium
855	ARTEALB	Artemisia alba
856	ARTEANN	Artemisia annua
857	ARTEAUS	Artemisia austriaca
859	ARTE#CA	Artemisia campestris
860	ARTECAM	Artemisia campestris
861	"ARTEC;C"	Artemisia campestris
862	"ARTEC;L"	Artemisia campestris var. lednicensis
863	ARTEDRA	Artemisia dracunculus
868	ARTEPAN	Artemisia pancicii
869	ARTEPON	Artemisia pontica
871	ARTESCO	Artemisia scoparia
872	ARTESIV	Artemisia siversiana
873	ARTEVER	Artemisia verlotiorum
874	ARTE#VU	Artemisia vulgaris agg.
875	ARTEVUL	Artemisia vulgaris
876	ARTEBIE	Artemisia biennis
878	ARTELUD	Artemisia ludoviciana ssp. ludoviciana
879	ARTETOU	Artemisia tournefortiana
880	ARTE-SP	Artemisia species
881	ARTHBUE	Arthonia bueriana
882	ARTHBYS	Arthonia byssacea
883	ARTHCAE	Arthonia caesia
884	ARTHCAL	Arthonia calcicola
885	ARTHCIN	Arthonia cinereopruinosa
886	ARTHCIA	Arthonia cinnabarina
887	ARTHCLE	Arthonia clemens
888	ARTHDES	Arthonia destruens
889	ARTHDID	Arthonia didyma
890	ARTHDIS	Arthonia dispersa
891	ARTHELE	Arthonia elegans
892	ARTHEND	Arthonia endlicheri
893	ARTHEPI	Arthonia epiphyscia
894	ARTHERI	Arthonia ericetorum
895	ARTHEXI	Arthonia exilis
896	ARTHFUL	Arthonia fuliginosa
